 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
7150 sequences read into 7150 blocks, (7150 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<1000 scored
Adjacent sequences scored with bonus of 10
141196 pairs collected
144024
 npairs = 144024
pre_order  npairs = 144024
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 1660
pack_lists 6982/7150 blocks moved

New sequence order is:
* Block 0 <=== 320	USER>>AACN010607701.1/895-1033	  139   [+0+] AACN010607701.1/895-1033 Canis familiaris ctg19866851718594, whole genome shotgun sequence.
* Block 589 <=== 2038	USER>>ABSB02000888.1/7561-7753	  193   [+0+] ABSB02000888.1/7561-7753 Blumeria graminis f. sp. hordei DH14 bgh_dh14_v2.0_contig_0000977, whole genome shotgun sequence.
* Block 590 <=== 1066	USER>>CABJ01002175.1/31322-31528	  207   [+0+] CABJ01002175.1/31322-31528 Tuber melanosporum, whole genome shotgun sequence assembly, contig_2177, strain Mel28
* Block 591 <=== 1062	USER>>AFIX01000036.1/24069-23895	  175   [+0+] AFIX01000036.1/24069-23895 Mycosphaerella graminicola STIR04_3.3.2 contig0036, whole genome shotgun sequence.
* Block 592 <=== 1056	USER>>AFIR01000453.1/13505-13333	  173   [+10+] AFIR01000453.1/13505-13333 Mycosphaerella graminicola STIR04_4.3.1 contig0456, whole genome shotgun sequence.
* Block 593 <=== 1064	USER>>AFIY01000080.1/1993-2243	  251   [+0+] AFIY01000080.1/1993-2243 Septoria passerinii SP63 contig0080, whole genome shotgun sequence.
* Block 594 <=== 1063	USER>>AFIY01000270.1/55086-54877	  210   [+0+] AFIY01000270.1/55086-54877 Septoria passerinii SP63 contig0271, whole genome shotgun sequence.
* Block 595 <=== 1065	USER>>AFIY01001154.1/31715-31529	  187   [+0+] AFIY01001154.1/31715-31529 Septoria passerinii SP63 contig1157, whole genome shotgun sequence.
* Block 596 <=== 1059	USER>>AEYQ01000515.1/44807-44557	  251   [+2+] AEYQ01000515.1/44807-44557 Mycosphaerella graminicola STIR04_A48b contig0523, whole genome shotgun sequence.
* Block 597 <=== 1058	USER>>AFIO01001595.1/444971-445143	  173   [+7+] AFIO01001595.1/444971-445143 Mycosphaerella graminicola STIR04_3.11.1 contig28923, whole genome shotgun sequence.
* Block 598 <=== 1061	USER>>AFIS01000045.1/25789-26005	  217   [+4+] AFIS01000045.1/25789-26005 Mycosphaerella graminicola STIR04_5.3 contig0045, whole genome shotgun sequence.
* Block 599 <=== 1057	USER>>AFIT01000359.1/102967-103182	  216   [+0+] AFIT01000359.1/102967-103182 Mycosphaerella graminicola STIR04_1.1.1 contig0362, whole genome shotgun sequence.
* Block 600 <=== 1060	USER>>AFIQ01000126.1/119063-118893	  171   [+1+] AFIQ01000126.1/119063-118893 Mycosphaerella graminicola STIR04_2.2.1 contig0128, whole genome shotgun sequence.
* Block 601 <=== 248	USER>>CABV01002398.1/4700-4510	  191   [+11+] CABV01002398.1/4700-4510 Oikopleura dioica, whole genome shotgun sequence, reference contig set, contig contig_2398
* Block 602 <=== 1276	USER>>ABEP02005560.1/12102-11912	  191   [+1+] ABEP02005560.1/12102-11912 Branchiostoma floridae strain S238N-H82 BRAFLscaffold_28_Cont5560, whole genome shotgun sequence.
* Block 603 <=== 904	USER>>ACTQ01004714.1/15440-15631	  192   [+0+] ACTQ01004714.1/15440-15631 Amphimedon queenslandica AMPQTscaffold_13320_Cont4714, whole genome shotgun sequence.
* Block 604 <=== 1266	USER>>ACTQ01000983.1/27475-27665	  191   [+0+] ACTQ01000983.1/27475-27665 Amphimedon queenslandica AMPQTscaffold_13500_Cont983, whole genome shotgun sequence.
* Block 605 <=== 1265	USER>>EAAA01005494.1/2210-2358	  149   [+1+] EAAA01005494.1/2210-2358 TPA: Ciona intestinalis DNA, contig: scaffold_2161:1841-4198, whole genome shotgun sequence.
* Block 606 <=== 1264	USER>>AABS01001062.1/345-536	  192   [+5+] AABS01001062.1/345-536 Ciona intestinalis ciona1062, whole genome shotgun sequence.
* Block 607 <=== 1247	USER>>AACT01036292.1/100-1	  100   [+4+] AACT01036292.1/100-1 Ciona savignyi cont_36292, whole genome shotgun sequence.
* Block 608 <=== 1263	USER>>AACT01056220.1/650-805	  156   [+0+] AACT01056220.1/650-805 Ciona savignyi cont_56220, whole genome shotgun sequence.
* Block 609 <=== 1248	USER>>AACT01037465.1/131-1	  131   [+7+] AACT01037465.1/131-1 Ciona savignyi cont_37465, whole genome shotgun sequence.
* Block 610 <=== 1252	USER>>AACT01000671.1/2891-3085	  195   [+210+] AACT01000671.1/2891-3085 Ciona savignyi cont_671, whole genome shotgun sequence.
* Block 611 <=== 1254	USER>>AACT01046494.1/1355-1147	  209   [+0+] AACT01046494.1/1355-1147 Ciona savignyi cont_46494, whole genome shotgun sequence.
* Block 612 <=== 1250	USER>>AACT01048124.1/1608-1405	  204   [+3+] AACT01048124.1/1608-1405 Ciona savignyi cont_48124, whole genome shotgun sequence.
* Block 613 <=== 1258	USER>>AACT01062971.1/603-800	  198   [+0+] AACT01062971.1/603-800 Ciona savignyi cont_62971, whole genome shotgun sequence.
* Block 614 <=== 1249	USER>>AACT01061941.1/1108-915	  194   [+0+] AACT01061941.1/1108-915 Ciona savignyi cont_61941, whole genome shotgun sequence.
* Block 615 <=== 1251	USER>>AACT01044007.1/629-835	  207   [+42+] AACT01044007.1/629-835 Ciona savignyi cont_44007, whole genome shotgun sequence.
* Block 616 <=== 1255	USER>>AACT01031895.1/663-460	  204   [+0+] AACT01031895.1/663-460 Ciona savignyi cont_31895, whole genome shotgun sequence.
* Block 617 <=== 1253	USER>>AACT01060517.1/165-1	  165   [+26+] AACT01060517.1/165-1 Ciona savignyi cont_60517, whole genome shotgun sequence.
* Block 618 <=== 1257	USER>>AACT01038870.1/1-174	  174   [+182+] AACT01038870.1/1-174 Ciona savignyi cont_38870, whole genome shotgun sequence.
* Block 619 <=== 1259	USER>>AACT01034276.1/1079-933	  147   [+3+] AACT01034276.1/1079-933 Ciona savignyi cont_34276, whole genome shotgun sequence.
* Block 620 <=== 1260	USER>>AACT01052279.1/885-1042	  158   [+0+] AACT01052279.1/885-1042 Ciona savignyi cont_52279, whole genome shotgun sequence.
* Block 621 <=== 1261	USER>>AACT01032326.1/347-123	  225   [+0+] AACT01032326.1/347-123 Ciona savignyi cont_32326, whole genome shotgun sequence.
* Block 622 <=== 1256	USER>>AACT01051126.1/632-787	  156   [+9+] AACT01051126.1/632-787 Ciona savignyi cont_51126, whole genome shotgun sequence.
* Block 623 <=== 1262	USER>>AACT01035902.1/113-1	  113   [+3+] AACT01035902.1/113-1 Ciona savignyi cont_35902, whole genome shotgun sequence.
* Block 624 <=== 600	USER>>AFSB01117864.1/2204-2040	  165   [+0+] AFSB01117864.1/2204-2040 Heterocephalus glaber contig117864, whole genome shotgun sequence.
* Block 625 <=== 1231	USER>>ABRR01111869.1/2-181	  180   [+0+] ABRR01111869.1/2-181 Vicugna pacos cont1.111868, whole genome shotgun sequence.
* Block 626 <=== 1237	USER>>HQ148183.1/438-251	  188   [+0+] HQ148183.1/438-251 Pimelodus grosskopfii clone Pgros09 microsatellite sequence.
* Block 627 <=== 334	USER>>AABR05108531.1/2057-1854	  204   [+1+] AABR05108531.1/2057-1854 Rattus norvegicus strain BN/SsNHsdMCW Contig108494, whole genome shotgun sequence.
* Block 628 <=== 1301	USER>>ABRN01356042.1/16084-15909	  176   [+0+] ABRN01356042.1/16084-15909 Tursiops truncatus cont1.356041, whole genome shotgun sequence.
* Block 629 <=== 2301	USER>>AAPN01213805.1/207-31	  177   [+0+] AAPN01213805.1/207-31 Ornithorhynchus anatinus Cont1035.23, whole genome shotgun sequence.
* Block 630 <=== 771	USER>>AFSB01215023.1/14043-14227	  185   [+0+] AFSB01215023.1/14043-14227 Heterocephalus glaber contig215023, whole genome shotgun sequence.
* Block 631 <=== 772	USER>>AFSB01183339.1/3181-3365	  185   [+0+] AFSB01183339.1/3181-3365 Heterocephalus glaber contig183339, whole genome shotgun sequence.
* Block 632 <=== 2338	USER>>AAPN01224030.1/5265-5462	  198   [+1+] AAPN01224030.1/5265-5462 Ornithorhynchus anatinus Cont6742.1, whole genome shotgun sequence.
* Block 633 <=== 2000	USER>>ACTA01068716.1/2205-2015	  191   [+0+] ACTA01068716.1/2205-2015 Ailuropoda melanoleuca scaffold3897_3, whole genome shotgun sequence.
* Block 634 <=== 1985	USER>>AATQ01028142.1/354-558	  205   [+0+] AATQ01028142.1/354-558 Epibiont metagenome ALV_LSB_219_G07.x01, whole genome shotgun sequence.
* Block 635 <=== 1987	USER>>AATQ01067850.1/598-395	  204   [+0+] AATQ01067850.1/598-395 Epibiont metagenome Alv_LSA_164_B02_C03.x01, whole genome shotgun sequence.
* Block 636 <=== 2050	USER>>AALT01393972.1/826-1019	  194   [+0+] AALT01393972.1/826-1019 Sorex araneus cont1.393971, whole genome shotgun sequence.
* Block 637 <=== 156	USER>>AAGV020539885.1/1915-1725	  191   [+0+] AAGV020539885.1/1915-1725 Dasypus novemcinctus cont2.539884, whole genome shotgun sequence.
* Block 638 <=== 1096	USER>>ABRP01093084.1/15970-16095	  126   [+0+] ABRP01093084.1/15970-16095 Pteropus vampyrus cont1.93083, whole genome shotgun sequence.
* Block 639 <=== 1095	USER>>AAHY01571768.1/92-270	  179   [+5+] AAHY01571768.1/92-270 Mus musculus strain 129X1/SvJ chromosome Tn CRA_211000021508762, whole genome shotgun sequence.
* Block 640 <=== 1094	USER>>AALT01560166.1/2888-2991	  104   [+1+] AALT01560166.1/2888-2991 Sorex araneus cont1.560165, whole genome shotgun sequence.
* Block 641 <=== 326	USER>>AALT01591099.1/119-308	  190   [+0+] AALT01591099.1/119-308 Sorex araneus cont1.591098, whole genome shotgun sequence.
* Block 642 <=== 325	USER>>ABRT010105869.1/1413-1608	  196   [+0+] ABRT010105869.1/1413-1608 Tarsius syrichta cont1.105868, whole genome shotgun sequence.
* Block 643 <=== 996	USER>>AAKN02052364.1/58802-58618	  185   [+0+] AAKN02052364.1/58802-58618 Cavia porcellus strain inbred line 2N cont2.52363, whole genome shotgun sequence.
* Block 644 <=== 308	USER>>AAPY01408585.1/7159-6973	  187   [+1+] AAPY01408585.1/7159-6973 Tupaia belangeri cont1.408584, whole genome shotgun sequence.
* Block 645 <=== 2134	USER>>AEMK01004434.1/906-759	  148   [+0+] AEMK01004434.1/906-759 Sus scrofa, whole genome shotgun sequence.
* Block 646 <=== 2171	USER>>ABRO01346980.1/4698-4892	  195   [+0+] ABRO01346980.1/4698-4892 Dipodomys ordii cont1.346979, whole genome shotgun sequence.
* Block 647 <=== 1760	USER>>AAQR03102008.1/6722-6532	  191   [+0+] AAQR03102008.1/6722-6532 Otolemur garnettii contig102008, whole genome shotgun sequence.
* Block 648 <=== 1732	USER>>ABDC01121722.1/5905-6074	  170   [+0+] ABDC01121722.1/5905-6074 Microcebus murinus cont1.121721, whole genome shotgun sequence.
* Block 649 <=== 922	USER>>AALT01189164.1/2417-2225	  193   [+1+] AALT01189164.1/2417-2225 Sorex araneus cont1.189163, whole genome shotgun sequence.
* Block 650 <=== 2280	USER>>AAEX03008381.1/315325-315530	  206   [+0+] AAEX03008381.1/315325-315530 Canis lupus familiaris cont3.8381, whole genome shotgun sequence.
* Block 651 <=== 467	USER>>AFXY01000238.1/1-180	  180   [+5+] AFXY01000238.1/1-180 Tetrahymena malaccensis 436 cont1.238, whole genome shotgun sequence.
* Block 652 <=== 469	USER>>AAGF03001300.1/200710-200900	  191   [+6+] AAGF03001300.1/200710-200900 Tetrahymena thermophila SB210 gcontig2_1108254517298, whole genome shotgun sequence.
* Block 653 <=== 466	USER>>AEDN01000830.1/31625-31434	  192   [+1+] AEDN01000830.1/31625-31434 Ichthyophthirius multifiliis strain G5 contig_1120509243087, whole genome shotgun sequence.
* Block 654 <=== 468	USER>>AFXF01000549.1/163778-163967	  190   [+0+] AFXF01000549.1/163778-163967 Tetrahymena elliotti 4EA cont1.549, whole genome shotgun sequence.
* Block 655 <=== 471	USER>>AFSS01003172.1/82-1	   82   [+5+] AFSS01003172.1/82-1 Tetrahymena thermophila SB210 cont1.3172, whole genome shotgun sequence.
* Block 656 <=== 470	USER>>DQ114948.1/136-329	  194   [+0+] DQ114948.1/136-329 Moneuplotes crassus clone pEC1 T2 snRNA gene, complete sequence; macronuclear.
* Block 657 <=== 465	USER>>AAZY02000001.1/986053-985858	  196   [+0+] AAZY02000001.1/986053-985858 Cryptosporidium muris RN66 gcontig_1106632353963, whole genome shotgun sequence.
* Block 658 <=== 464	USER>>AAEE01000010.1/89978-89784	  195   [+1+] AAEE01000010.1/89978-89784 Cryptosporidium parvum Iowa II chromosome 5 chr5.s2, whole genome shotgun sequence.
* Block 659 <=== 462	USER>>FR823392.1/3427765-3427573	  193   [+19+] FR823392.1/3427765-3427573 Neospora caninum Liverpool complete genome, chromosome XI
* Block 660 <=== 459	USER>>AACY020663939.1/742-903	  162   [+0+] AACY020663939.1/742-903 Marine metagenome 2010331, whole genome shotgun sequence.
* Block 661 <=== 461	USER>>AACY023940571.1/1133-944	  190   [+0+] AACY023940571.1/1133-944 Marine metagenome ctg_1101668747922, whole genome shotgun sequence.
* Block 662 <=== 458	USER>>AACY023769932.1/807-996	  190   [+0+] AACY023769932.1/807-996 Marine metagenome ctg_1101668577283, whole genome shotgun sequence.
* Block 663 <=== 460	USER>>AACY021720211.1/770-581	  190   [+0+] AACY021720211.1/770-581 Marine metagenome 1093018702756, whole genome shotgun sequence.
* Block 664 <=== 457	USER>>FJ434805.1/188-376	  189   [+6+] FJ434805.1/188-376 Prorocentrum minimum clone Pmi5S-2c 5S ribosomal RNA genes, partial sequence.
* Block 665 <=== 463	USER>>AACY020397167.1/667-478	  190   [+0+] AACY020397167.1/667-478 Marine metagenome 1096626505482, whole genome shotgun sequence.
* Block 666 <=== 472	USER>>FR823393.1/6033727-6033620	  108   [+0+] FR823393.1/6033727-6033620 Neospora caninum Liverpool complete genome, chromosome XII
* Block 667 <=== 473	USER>>CAFC02075742.1/181-1	  181   [+0+] CAFC02075742.1/181-1 Hyphochytrium catenoides WGS project CAFC00000000 data, strain ATCC 18719, contig_75742
* Block 668 <=== 474	USER>>ABMC01182717.1/91-16	   76   [+0+] ABMC01182717.1/91-16 Marine metagenome 4189357, whole genome shotgun sequence.
* Block 669 <=== 475	USER>>ACJI01002773.1/827-636	  192   [+1+] ACJI01002773.1/827-636 Aureococcus anophagefferens strain CCMP1984 ATRANscaffold_54_Cont2773, whole genome shotgun sequence.
* Block 670 <=== 477	USER>>ACJI01000414.1/5749-5558	  192   [+0+] ACJI01000414.1/5749-5558 Aureococcus anophagefferens strain CCMP1984 ATRANscaffold_3_Cont414, whole genome shotgun sequence.
* Block 671 <=== 480	USER>>CAAL01000674.1/118866-118679	  188   [+3+] CAAL01000674.1/118866-118679 Paramecium tetraurelia chromosome undetermined, whole genome shotgun sequence, contig_206
* Block 672 <=== 482	USER>>AACY020614811.1/192-381	  190   [+0+] AACY020614811.1/192-381 Marine metagenome 1504907, whole genome shotgun sequence.
* Block 673 <=== 483	USER>>AACY021455286.1/283-474	  192   [+0+] AACY021455286.1/283-474 Marine metagenome 2146458, whole genome shotgun sequence.
* Block 674 <=== 478	USER>>AAXJ01015861.1/938-1128	  191   [+21+] AAXJ01015861.1/938-1128 Perkinsus marinus ATCC 50983 gcontig_1104296732366, whole genome shotgun sequence.
* Block 675 <=== 481	USER>>AACY021073548.1/563-755	  193   [+0+] AACY021073548.1/563-755 Marine metagenome 1092351070195, whole genome shotgun sequence.
* Block 676 <=== 484	USER>>ABGP01000395.1/162424-162612	  189   [+0+] ABGP01000395.1/162424-162612 Trichoplax adhaerens strain Grell-BS-1999 TRIADscaffold_5_Cont395, whole genome shotgun sequence.
* Block 677 <=== 485	USER>>AAGF03001300.1/208847-209036	  190   [+6+] AAGF03001300.1/208847-209036 Tetrahymena thermophila SB210 gcontig2_1108254517298, whole genome shotgun sequence.
* Block 678 <=== 486	USER>>AAXJ01018676.1/64-1	   64   [+1+] AAXJ01018676.1/64-1 Perkinsus marinus ATCC 50983 gcontig_1104296600420, whole genome shotgun sequence.
* Block 679 <=== 158	USER>>AAIY01588120.1/1642-1450	  193   [+0+] AAIY01588120.1/1642-1450 Echinops telfairi cont1.588121, whole genome shotgun sequence.
* Block 680 <=== 487	USER>>AFSM01005264.1/745-945	  201   [+0+] AFSM01005264.1/745-945 Rhizophydiales sp. JEL142 JEL142_contig07116, whole genome shotgun sequence.
* Block 681 <=== 490	USER>>AATT01000021.1/233303-233109	  195   [+1+] AATT01000021.1/233303-233109 Batrachochytrium dendrobatidis JEL423 cont1.21, whole genome shotgun sequence.
* Block 682 <=== 488	USER>>ACOE01000072.1/28040-27848	  193   [+2+] ACOE01000072.1/28040-27848 Spizellomyces punctatus DAOM BR117 cont1.72, whole genome shotgun sequence.
* Block 683 <=== 491	USER>>AACY021189163.1/157-1	  157   [+0+] AACY021189163.1/157-1 Marine metagenome 1594287, whole genome shotgun sequence.
* Block 684 <=== 489	USER>>AACW02000228.1/581455-581260	  196   [+3+] AACW02000228.1/581455-581260 Rhizopus oryzae RA 99-880 cont3.228, whole genome shotgun sequence.
* Block 685 <=== 1120	USER>>Y15811.1/2889-2702	  188   [+1+] Y15811.1/2889-2702 Xanthophyllomyces dendrorhous idi gene
* Block 686 <=== 1119	USER>>CAFZ01000038.1/50673-50486	  188   [+0+] CAFZ01000038.1/50673-50486 Piriformospora indica DSM 11827 WGS project CAFZ00000000 data, contig PIRI_contig_0041
* Block 687 <=== 1122	USER>>ADMJ01000118.1/177790-177978	  189   [+6+] ADMJ01000118.1/177790-177978 Schizophyllum commune H4-8 SCHCOscaffold_5_Cont118, whole genome shotgun sequence.
* Block 688 <=== 1128	USER>>AADS01000268.1/17753-17565	  189   [+12+] AADS01000268.1/17753-17565 Phanerochaete chrysosporium RP-78 White_Rot268, whole genome shotgun sequence.
* Block 689 <=== 1124	USER>>ABWF01004930.1/22360-22173	  188   [+1+] ABWF01004930.1/22360-22173 Postia placenta Mad-698-R POSPLscaffold_109_Cont4930, whole genome shotgun sequence.
* Block 690 <=== 1130	USER>>ABFE01000607.1/1-160	  160   [+0+] ABFE01000607.1/1-160 Laccaria bicolor S238N-H82 LACBIscaffold_8_Cont607, whole genome shotgun sequence.
* Block 691 <=== 1125	USER>>AEQC01000507.1/353-155	  199   [+1+] AEQC01000507.1/353-155 Serpula lacrymans var. lacrymans S7.3 SERLA73scaffold_5_Cont507, whole genome shotgun sequence.
* Block 692 <=== 1127	USER>>AEQB01000209.1/239997-240189	  193   [+5+] AEQB01000209.1/239997-240189 Serpula lacrymans var. lacrymans S7.9 SERLAscaffold_7_Cont209, whole genome shotgun sequence.
* Block 693 <=== 1129	USER>>ABFE01000615.1/31522-31710	  189   [+4+] ABFE01000615.1/31522-31710 Laccaria bicolor S238N-H82 LACBIscaffold_8_Cont615, whole genome shotgun sequence.
* Block 694 <=== 1126	USER>>ADWX01285372.1/1923-2112	  190   [+0+] ADWX01285372.1/1923-2112 Atta colombica fungus garden contig30097, whole genome shotgun sequence.
* Block 695 <=== 1123	USER>>ABFE01001492.1/73361-73176	  186   [+2+] ABFE01001492.1/73361-73176 Laccaria bicolor S238N-H82 LACBIscaffold_25_Cont1492, whole genome shotgun sequence.
* Block 696 <=== 1121	USER>>AADS01000285.1/870-643	  228   [+0+] AADS01000285.1/870-643 Phanerochaete chrysosporium RP-78 White_Rot285, whole genome shotgun sequence.
* Block 697 <=== 907	USER>>AAQR03046415.1/18522-18692	  171   [+0+] AAQR03046415.1/18522-18692 Otolemur garnettii contig046415, whole genome shotgun sequence.
* Block 698 <=== 1131	USER>>AAYY01000014.1/395665-395475	  191   [+0+] AAYY01000014.1/395665-395475 Malassezia globosa CBS 7966 mgl_sf_10.1, whole genome shotgun sequence.
* Block 699 <=== 1132	USER>>AE017345.1/926592-926777	  186   [+4+] AE017345.1/926592-926777 Cryptococcus neoformans var. neoformans JEC21 chromosome 5, complete sequence.
* Block 700 <=== 162	USER>>AAPN01326992.1/1693-1503	  191   [+0+] AAPN01326992.1/1693-1503 Ornithorhynchus anatinus Cont28715.1, whole genome shotgun sequence.
* Block 701 <=== 838	USER>>AC200759.3/129571-129391	  181   [+0+] AC200759.3/129571-129391 Gallus gallus BAC clone CH261-38O8 from chromosome z, complete sequence.
* Block 702 <=== 1210	USER>>ADDD01109958.1/1811-1630	  182   [+0+] ADDD01109958.1/1811-1630 Meleagris gallopavo CTG_7180001552190, whole genome shotgun sequence.
* Block 703 <=== 1209	USER>>AGTP01020434.1/3890-4080	  191   [+0+] AGTP01020434.1/3890-4080 Spermophilus tridecemlineatus contig020434, whole genome shotgun sequence.
* Block 704 <=== 510	USER>>ABRT010023000.1/3359-3542	  184   [+0+] ABRT010023000.1/3359-3542 Tarsius syrichta cont1.22999, whole genome shotgun sequence.
* Block 705 <=== 312	USER>>AGTP01016396.1/78314-78503	  190   [+0+] AGTP01016396.1/78314-78503 Spermophilus tridecemlineatus contig016396, whole genome shotgun sequence.
* Block 706 <=== 264	USER>>ABRO01434789.1/684-485	  200   [+0+] ABRO01434789.1/684-485 Dipodomys ordii cont1.434788, whole genome shotgun sequence.
* Block 707 <=== 2140	USER>>AAQR03083243.1/4256-4440	  185   [+0+] AAQR03083243.1/4256-4440 Otolemur garnettii contig083243, whole genome shotgun sequence.
* Block 708 <=== 304	USER>>AFTD01087752.1/10872-10684	  189   [+0+] AFTD01087752.1/10872-10684 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 709 <=== 2131	USER>>AC187276.3/119261-119434	  174   [+1+] AC187276.3/119261-119434 Gallus gallus BAC clone CH261-1C18 from chromosome z, complete sequence.
* Block 710 <=== 2137	USER>>AAIY01362741.1/3142-3322	  181   [+0+] AAIY01362741.1/3142-3322 Echinops telfairi cont1.362740, whole genome shotgun sequence.
* Block 711 <=== 313	USER>>AAWZ02006135.1/104396-104188	  209   [+0+] AAWZ02006135.1/104396-104188 Anolis carolinensis chromosome Tnknown cont2.6134, whole genome shotgun sequence.
* Block 712 <=== 183	USER>>AAWZ02034576.1/48443-48262	  182   [+0+] AAWZ02034576.1/48443-48262 Anolis carolinensis chromosome Tnknown cont2.34575, whole genome shotgun sequence.
* Block 713 <=== 182	USER>>AAGV020752164.1/1612-1423	  190   [+0+] AAGV020752164.1/1612-1423 Dasypus novemcinctus cont2.752163, whole genome shotgun sequence.
* Block 714 <=== 298	USER>>AAPY01517933.1/6638-6449	  190   [+0+] AAPY01517933.1/6638-6449 Tupaia belangeri cont1.517932, whole genome shotgun sequence.
* Block 715 <=== 299	USER>>AGTP01043120.1/4762-4565	  198   [+0+] AGTP01043120.1/4762-4565 Spermophilus tridecemlineatus contig043120, whole genome shotgun sequence.
* Block 716 <=== 1227	USER>>AACN010244067.1/343-171	  173   [+1+] AACN010244067.1/343-171 Canis familiaris ctg19866851190313, whole genome shotgun sequence.
* Block 717 <=== 2132	USER>>AGTP01099531.1/31797-31958	  162   [+4+] AGTP01099531.1/31797-31958 Spermophilus tridecemlineatus contig099531, whole genome shotgun sequence.
* Block 718 <=== 2355	USER>>AALT01500937.1/1788-1598	  191   [+0+] AALT01500937.1/1788-1598 Sorex araneus cont1.500936, whole genome shotgun sequence.
* Block 719 <=== 2110	USER>>AGTP01053802.1/41166-41345	  180   [+0+] AGTP01053802.1/41166-41345 Spermophilus tridecemlineatus contig053802, whole genome shotgun sequence.
* Block 720 <=== 2111	USER>>ABRO01258548.1/418-210	  209   [+0+] ABRO01258548.1/418-210 Dipodomys ordii cont1.258547, whole genome shotgun sequence.
* Block 721 <=== 2112	USER>>AAPY01700046.1/369-182	  188   [+0+] AAPY01700046.1/369-182 Tupaia belangeri cont1.700045, whole genome shotgun sequence.
* Block 722 <=== 2113	USER>>AGCE01098056.1/27559-27373	  187   [+0+] AGCE01098056.1/27559-27373 Saimiri boliviensis boliviensis contig098056, whole genome shotgun sequence.
* Block 723 <=== 2404	USER>>AAPE02043052.1/4954-4764	  191   [+0+] AAPE02043052.1/4954-4764 Myotis lucifugus cont2.43051, whole genome shotgun sequence.
* Block 724 <=== 2610	USER>>AAIY01146703.1/593-776	  184   [+0+] AAIY01146703.1/593-776 Echinops telfairi cont1.146702, whole genome shotgun sequence.
* Block 725 <=== 3225	USER>>AAGW02014343.1/20164-19976	  189   [+0+] AAGW02014343.1/20164-19976 Oryctolagus cuniculus cont2.14342, whole genome shotgun sequence.
* Block 726 <=== 2095	USER>>ACFV01066927.1/859-1050	  192   [+0+] ACFV01066927.1/859-1050 Callithrix jacchus Contig93.68, whole genome shotgun sequence.
* Block 727 <=== 2097	USER>>AADD01024096.1/9630-9442	  189   [+17+] AADD01024096.1/9630-9442 Homo sapiens chromosome 2 WGSA:24095 contig 24095 scaffold 59, whole genome shotgun sequence.
* Block 728 <=== 2094	USER>>AGCE01013460.1/1187-1381	  195   [+0+] AGCE01013460.1/1187-1381 Saimiri boliviensis boliviensis contig013460, whole genome shotgun sequence.
* Block 729 <=== 2096	USER>>ABDC01091947.1/1805-1602	  204   [+0+] ABDC01091947.1/1805-1602 Microcebus murinus cont1.91946, whole genome shotgun sequence.
* Block 730 <=== 2098	USER>>ABRP01083810.1/10874-10683	  192   [+0+] ABRP01083810.1/10874-10683 Pteropus vampyrus cont1.83809, whole genome shotgun sequence.
* Block 731 <=== 2102	USER>>ABRN01407515.1/2275-2090	  186   [+1+] ABRN01407515.1/2275-2090 Tursiops truncatus cont1.407514, whole genome shotgun sequence.
* Block 732 <=== 2100	USER>>AAPE02004901.1/22024-22213	  190   [+0+] AAPE02004901.1/22024-22213 Myotis lucifugus cont2.4900, whole genome shotgun sequence.
* Block 733 <=== 2101	USER>>ACTA01010379.1/26239-26426	  188   [+1+] ACTA01010379.1/26239-26426 Ailuropoda melanoleuca scaffold1026_27, whole genome shotgun sequence.
* Block 734 <=== 2099	USER>>AAWR02006495.1/63929-63740	  190   [+0+] AAWR02006495.1/63929-63740 Equus caballus cont2.6494, whole genome shotgun sequence.
* Block 735 <=== 1293	USER>>AAKN02021628.1/232177-232498	  322   [+0+] AAKN02021628.1/232177-232498 Cavia porcellus strain inbred line 2N cont2.21627, whole genome shotgun sequence.
* Block 736 <=== 679	USER>>AFSB01116728.1/409-223	  187   [+0+] AFSB01116728.1/409-223 Heterocephalus glaber contig116728, whole genome shotgun sequence.
* Block 737 <=== 2204	USER>>ADND01042478.1/2830-2644	  187   [+0+] ADND01042478.1/2830-2644 Lepeophtheirus salmonis strain Pacific Contig_043003, whole genome shotgun sequence.
* Block 738 <=== 678	USER>>AFYH01146237.1/10739-10932	  194   [+0+] AFYH01146237.1/10739-10932 Latimeria chalumnae contig146237, whole genome shotgun sequence.
* Block 739 <=== 1151	USER>>ABRO01188651.1/552-370	  183   [+0+] ABRO01188651.1/552-370 Dipodomys ordii cont1.188650, whole genome shotgun sequence.
* Block 740 <=== 2550	USER>>AAHY01117474.1/22408-22593	  186   [+4+] AAHY01117474.1/22408-22593 Mus musculus strain 129X1/SvJ chromosome 14 CRA_211000022009473, whole genome shotgun sequence.
* Block 741 <=== 2910	USER>>AFTD01043048.1/21160-20976	  185   [+0+] AFTD01043048.1/21160-20976 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
