 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
* Block 601 <=== 626	USER>>ABSL01034247.1/819-913	   95   [+6+] ABSL01034247.1/819-913 Homo sapiens CTG_1112749569269, whole genome shotgun sequence.
* Block 602 <=== 695	USER>>AFSB01073570.1/15095-14981	  115   [+0+] AFSB01073570.1/15095-14981 Heterocephalus glaber contig73570, whole genome shotgun sequence.
* Block 603 <=== 722	USER>>AAPE02025953.1/17748-17864	  117   [+0+] AAPE02025953.1/17748-17864 Myotis lucifugus cont2.25952, whole genome shotgun sequence.
* Block 604 <=== 648	USER>>AAFC03014159.1/9849-9948	  100   [+1+] AAFC03014159.1/9849-9948 Bos taurus Ctg8.CH240-166H24, whole genome shotgun sequence.
* Block 605 <=== 649	USER>>AFTD01150226.1/3859-3761	   99   [+0+] AFTD01150226.1/3859-3761 Cricetulus griseus cell line CHO-K1, whole genome shotgun sequence.
* Block 606 <=== 668	USER>>AEYP01016779.1/87595-87696	  102   [+0+] AEYP01016779.1/87595-87696 Mustela putorius furo contig016779, whole genome shotgun sequence.
* Block 607 <=== 553	USER>>AAGW02032724.1/3223-3111	  113   [+0+] AAGW02032724.1/3223-3111 Oryctolagus cuniculus cont2.32723, whole genome shotgun sequence.
* Block 608 <=== 476	USER>>DAAB012609818.1/185-51	  135   [+0+] DAAB012609818.1/185-51 TPA: Homo sapiens contig2609818, whole genome shotgun sequence.
* Block 609 <=== 408	USER>>CAAB02017747.1/1-138	  138   [+0+] CAAB02017747.1/1-138 Takifugu rubripes WGS project CAAB00000000 data, contig_17809
* Block 610 <=== 482	USER>>AGKD01392658.1/1-138	  138   [+0+] AGKD01392658.1/1-138 Salmo salar Contig_392904, whole genome shotgun sequence.
* Block 611 <--- 418	USER>>AF110881.1/1-132	  132   [+0+] AF110881.1/1-132 Macrobiotus sp. T2 snRNA gene, partial sequence.
* Block 612 <--- 419	USER>>HQ009894.1/595-708	  114   [+0+] HQ009894.1/595-708 Chlorarachnion sp. CCMP2014 28S ribosomal RNA gene, partial sequence; and T2 snRNA gene, complete sequence; nucleomorph.
* Block 613 <--- 480	USER>>ABJQ01002673.1/1257-1379	  123   [+0+] ABJQ01002673.1/1257-1379 Ascogregarina taiwanensis Contig2985, whole genome shotgun sequence.
* Block 614 <=== 574	USER>>AAEX03012737.1/27252-27141	  112   [+0+] AAEX03012737.1/27252-27141 Canis lupus familiaris cont3.12737, whole genome shotgun sequence.
* Block 615 <=== 575	USER>>AAGV020604041.1/905-777	  129   [+0+] AAGV020604041.1/905-777 Dasypus novemcinctus cont2.604040, whole genome shotgun sequence.
* Block 616 <=== 605	USER>>ACBE01496873.1/694-816	  123   [+1+] ACBE01496873.1/694-816 Felis catus c403101626.Contig1, whole genome shotgun sequence.
* Block 617 <=== 604	USER>>AAPE02016812.1/43468-43354	  115   [+0+] AAPE02016812.1/43468-43354 Myotis lucifugus cont2.16811, whole genome shotgun sequence.
* Block 618 <=== 610	USER>>AAKN02025913.1/6818-6921	  104   [+0+] AAKN02025913.1/6818-6921 Cavia porcellus strain inbred line 2N cont2.25912, whole genome shotgun sequence.
* Block 619 <=== 609	USER>>ABRT010369661.1/203-105	   99   [+2+] ABRT010369661.1/203-105 Tarsius syrichta cont1.369660, whole genome shotgun sequence.
* Block 620 <=== 606	USER>>AAGW02048964.1/63556-63464	   93   [+0+] AAGW02048964.1/63556-63464 Oryctolagus cuniculus cont2.48963, whole genome shotgun sequence.
* Block 621 <=== 607	USER>>AAGW02000318.1/38869-38990	  122   [+0+] AAGW02000318.1/38869-38990 Oryctolagus cuniculus cont2.317, whole genome shotgun sequence.
* Block 622 <=== 611	USER>>AAPE02020311.1/23141-23240	  100   [+0+] AAPE02020311.1/23141-23240 Myotis lucifugus cont2.20310, whole genome shotgun sequence.
* Block 623 <=== 608	USER>>AAQR03157426.1/7186-7283	   98   [+0+] AAQR03157426.1/7186-7283 Otolemur garnettii contig157426, whole genome shotgun sequence.
* Block 624 <=== 612	USER>>AGCE01057759.1/3342-3228	  115   [+0+] AGCE01057759.1/3342-3228 Saimiri boliviensis boliviensis contig057759, whole genome shotgun sequence.
* Block 625 <=== 657	USER>>AEYP01089440.1/19506-19408	   99   [+0+] AEYP01089440.1/19506-19408 Mustela putorius furo contig089440, whole genome shotgun sequence.
* Block 626 <=== 656	USER>>AAGW02023394.1/88755-88863	  109   [+0+] AAGW02023394.1/88755-88863 Oryctolagus cuniculus cont2.23393, whole genome shotgun sequence.
* Block 627 <=== 569	USER>>ABRR01155449.1/275-380	  106   [+0+] ABRR01155449.1/275-380 Vicugna pacos cont1.155448, whole genome shotgun sequence.
* Block 628 <=== 655	USER>>AAGW02035364.1/20306-20416	  111   [+0+] AAGW02035364.1/20306-20416 Oryctolagus cuniculus cont2.35363, whole genome shotgun sequence.
* Block 629 <=== 684	USER>>AAYZ01039381.1/1453-1546	   94   [+0+] AAYZ01039381.1/1453-1546 Ochotona princeps cont2.39380, whole genome shotgun sequence.
* Block 630 <=== 572	USER>>AAGW02079425.1/22791-22906	  116   [+0+] AAGW02079425.1/22791-22906 Oryctolagus cuniculus cont2.79424, whole genome shotgun sequence.
* Block 631 <=== 551	USER>>AAGW02077422.1/41547-41432	  116   [+0+] AAGW02077422.1/41547-41432 Oryctolagus cuniculus cont2.77421, whole genome shotgun sequence.
* Block 632 <=== 573	USER>>AAGW02077181.1/32512-32397	  116   [+0+] AAGW02077181.1/32512-32397 Oryctolagus cuniculus cont2.77180, whole genome shotgun sequence.
* Block 633 <=== 571	USER>>AAYZ01000796.1/555-439	  117   [+0+] AAYZ01000796.1/555-439 Ochotona princeps cont2.795, whole genome shotgun sequence.
* Block 634 <=== 620	USER>>ABRT010234704.1/336-228	  109   [+0+] ABRT010234704.1/336-228 Tarsius syrichta cont1.234703, whole genome shotgun sequence.
* Block 635 <=== 621	USER>>AGCE01014789.1/5016-5127	  112   [+0+] AGCE01014789.1/5016-5127 Saimiri boliviensis boliviensis contig014789, whole genome shotgun sequence.
* Block 636 <=== 603	USER>>AAKN02056541.1/14043-14165	  123   [+0+] AAKN02056541.1/14043-14165 Cavia porcellus strain inbred line 2N cont2.56540, whole genome shotgun sequence.
* Block 637 <=== 602	USER>>AANN01591679.1/247-359	  113   [+0+] AANN01591679.1/247-359 Erinaceus europaeus cont1.591678, whole genome shotgun sequence.
* Block 638 <=== 680	USER>>AAYZ01458901.1/1537-1674	  138   [+0+] AAYZ01458901.1/1537-1674 Ochotona princeps cont2.458900, whole genome shotgun sequence.
* Block 639 <=== 557	USER>>AAPE02050676.1/10193-10311	  119   [+0+] AAPE02050676.1/10193-10311 Myotis lucifugus cont2.50675, whole genome shotgun sequence.
* Block 640 <=== 658	USER>>ACBE01547127.1/4857-4754	  104   [+1+] ACBE01547127.1/4857-4754 Felis catus c476601611.Contig1, whole genome shotgun sequence.
* Block 641 <=== 687	USER>>AAGW02012262.1/42147-42272	  126   [+0+] AAGW02012262.1/42147-42272 Oryctolagus cuniculus cont2.12261, whole genome shotgun sequence.
* Block 642 <=== 662	USER>>AAGW02052890.1/13075-12968	  108   [+0+] AAGW02052890.1/13075-12968 Oryctolagus cuniculus cont2.52889, whole genome shotgun sequence.
* Block 643 <=== 663	USER>>ABDC01362586.1/2687-2813	  127   [+0+] ABDC01362586.1/2687-2813 Microcebus murinus cont1.362585, whole genome shotgun sequence.
* Block 644 <=== 664	USER>>AAPE02006385.1/65440-65555	  116   [+0+] AAPE02006385.1/65440-65555 Myotis lucifugus cont2.6384, whole genome shotgun sequence.
* Block 645 <=== 713	USER>>AC167067.3/229839-229728	  112   [+1+] AC167067.3/229839-229728 Neofelis nebulosa clone CH87-245J23, complete sequence.
* Block 646 <=== 712	USER>>AAQR03042487.1/8221-8310	   90   [+0+] AAQR03042487.1/8221-8310 Otolemur garnettii contig042487, whole genome shotgun sequence.
* Block 647 <=== 711	USER>>AAPE02010393.1/81210-81311	  102   [+0+] AAPE02010393.1/81210-81311 Myotis lucifugus cont2.10392, whole genome shotgun sequence.
* Block 648 <=== 710	USER>>ACFV01059198.1/13858-13970	  113   [+0+] ACFV01059198.1/13858-13970 Callithrix jacchus Contig76.2, whole genome shotgun sequence.
* Block 649 <=== 677	USER>>AAYZ01543470.1/576-674	   99   [+0+] AAYZ01543470.1/576-674 Ochotona princeps cont2.543469, whole genome shotgun sequence.
* Block 650 <=== 676	USER>>ABRT010466199.1/2311-2418	  108   [+0+] ABRT010466199.1/2311-2418 Tarsius syrichta cont1.466198, whole genome shotgun sequence.
* Block 651 <=== 552	USER>>ABDC01389034.1/821-929	  109   [+0+] ABDC01389034.1/821-929 Microcebus murinus cont1.389033, whole genome shotgun sequence.
* Block 652 <=== 570	USER>>AAGW02064063.1/370556-370454	  103   [+0+] AAGW02064063.1/370556-370454 Oryctolagus cuniculus cont2.64062, whole genome shotgun sequence.
* Block 653 <=== 568	USER>>AANT01183684.1/28690-28791	  102   [+2+] AANT01183684.1/28690-28791 Macaca mulatta 1099214623401, whole genome shotgun sequence.
* Block 654 <=== 614	USER>>CABD02168677.1/1520-1418	  103   [+0+] CABD02168677.1/1520-1418 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr18_64679269_690174.36
* Block 655 <=== 613	USER>>AAGW02005281.1/10672-10763	   92   [+0+] AAGW02005281.1/10672-10763 Oryctolagus cuniculus cont2.5280, whole genome shotgun sequence.
* Block 656 <=== 682	USER>>AEHL01178533.1/727-616	  112   [+0+] AEHL01178533.1/727-616 Macaca fascicularis contig178533, whole genome shotgun sequence.
* Block 657 <=== 683	USER>>AAYZ01144229.1/3645-3542	  104   [+0+] AAYZ01144229.1/3645-3542 Ochotona princeps cont2.144228, whole genome shotgun sequence.
* Block 658 <=== 665	USER>>AANN01078698.1/843-725	  119   [+0+] AANN01078698.1/843-725 Erinaceus europaeus cont1.078697, whole genome shotgun sequence.
* Block 659 <=== 788	USER>>ADFV01017279.1/39971-39849	  123   [+0+] ADFV01017279.1/39971-39849 Nomascus leucogenys contig_62278, whole genome shotgun sequence.
* Block 660 <=== 678	USER>>AAPE02017301.1/77930-78032	  103   [+0+] AAPE02017301.1/77930-78032 Myotis lucifugus cont2.17300, whole genome shotgun sequence.
* Block 661 <=== 679	USER>>AGTP01055337.1/71316-71195	  122   [+0+] AGTP01055337.1/71316-71195 Spermophilus tridecemlineatus contig055337, whole genome shotgun sequence.
* Block 662 <=== 718	USER>>AAGW02000118.1/160357-160468	  112   [+0+] AAGW02000118.1/160357-160468 Oryctolagus cuniculus cont2.117, whole genome shotgun sequence.
* Block 663 <=== 519	USER>>AAPE02053592.1/21113-20994	  120   [+0+] AAPE02053592.1/21113-20994 Myotis lucifugus cont2.53591, whole genome shotgun sequence.
* Block 664 <=== 1024	USER>>ABQF01108133.1/1-115	  115   [+0+] ABQF01108133.1/1-115 Taeniopygia guttata Contig24371.2, whole genome shotgun sequence.
* Block 665 <=== 1155	USER>>ABNE01000745.1/124-23	  102   [+0+] ABNE01000745.1/124-23 Fish metagenome 9200374, whole genome shotgun sequence.
* Block 666 <=== 963	USER>>AEKR01320136.1/1-97	   97   [+0+] AEKR01320136.1/1-97 Mus musculus strain C57BL/6J cont1.320135, whole genome shotgun sequence.
* Block 667 <=== 1025	USER>>AAHX01055973.1/10375-10262	  114   [+1+] AAHX01055973.1/10375-10262 Rattus norvegicus strain BN; Sprague-Dawley chromosome 8 CRA_213000034405764, whole genome shotgun sequence.
* Block 668 <=== 1026	USER>>Z56882.1/1-98	   98   [+0+] Z56882.1/1-98 H.sapiens CpG island DNA genomic Mse1 fragment, clone 152a11, reverse read cpg152a11.rt1a .
* Block 669 <=== 1064	USER>>Z54701.1/205-104	  102   [+0+] Z54701.1/205-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 156b2, forward read cpg156b2.ft1a .
* Block 670 <=== 964	USER>>Z56168.1/1-98	   98   [+0+] Z56168.1/1-98 H.sapiens CpG island DNA genomic Mse1 fragment, clone 92b11, reverse read cpg92b11.rt1a .
* Block 671 <=== 1027	USER>>Z59457.1/1-99	   99   [+0+] Z59457.1/1-99 H.sapiens CpG island DNA genomic Mse1 fragment, clone 156c8, reverse read cpg156c8.rt1a .
* Block 672 <=== 967	USER>>Z56974.1/1-98	   98   [+1+] Z56974.1/1-98 H.sapiens CpG island DNA genomic Mse1 fragment, clone 156c2, reverse read cpg156c2.rt1a .
* Block 673 <=== 969	USER>>Z54690.1/200-104	   97   [+0+] Z54690.1/200-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 155a10, forward read cpg155a10.ft1a .
* Block 674 <=== 986	USER>>M10882.1/1-127	  127   [+0+] M10882.1/1-127 Rat T2 RNA 3' end, from Novikoff hepatoma cell nuclei.
* Block 675 <=== 987	USER>>ADFV01135998.1/3815-3715	  101   [+0+] ADFV01135998.1/3815-3715 Nomascus leucogenys contig_171007, whole genome shotgun sequence.
* Block 676 <=== 1151	USER>>AACN010586667.1/1-97	   97   [+0+] AACN010586667.1/1-97 Canis familiaris ctg19866851348731, whole genome shotgun sequence.
* Block 677 <=== 1235	USER>>Z65009.1/1-98	   98   [+0+] Z65009.1/1-98 H.sapiens CpG island DNA genomic Mse1 fragment, clone 188d10, reverse read cpg188d10.rt1a .
* Block 678 <=== 1291	USER>>Z63656.1/202-104	   99   [+0+] Z63656.1/202-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 88f1, forward read cpg88f1.ft1a .
* Block 679 <=== 1286	USER>>Z56350.1/1-99	   99   [+0+] Z56350.1/1-99 H.sapiens CpG island DNA genomic Mse1 fragment, clone 114b8, reverse read cpg114b8.rt1a .
* Block 680 <=== 1340	USER>>Z54779.1/1-99	   99   [+0+] Z54779.1/1-99 H.sapiens CpG island DNA genomic Mse1 fragment, clone 164c10, reverse read cpg164c10.rt1a .
* Block 681 <=== 968	USER>>CAEA01397356.1/353-260	   94   [+0+] CAEA01397356.1/353-260 Gadus morhua WGS project CAEA01000000 data, contig588226
* Block 682 <=== 1156	USER>>AALT01310698.1/1-108	  108   [+0+] AALT01310698.1/1-108 Sorex araneus cont1.310697, whole genome shotgun sequence.
* Block 683 <=== 1292	USER>>AAPE02014792.1/68374-68246	  129   [+0+] AAPE02014792.1/68374-68246 Myotis lucifugus cont2.14791, whole genome shotgun sequence.
* Block 684 <=== 1233	USER>>AALT01196352.1/1-105	  105   [+0+] AALT01196352.1/1-105 Sorex araneus cont1.196351, whole genome shotgun sequence.
* Block 685 <=== 1154	USER>>ABRT010750748.1/357-484	  128   [+0+] ABRT010750748.1/357-484 Tarsius syrichta cont1.750747, whole genome shotgun sequence.
* Block 686 <=== 1110	USER>>ADFV01053372.1/15662-15539	  124   [+0+] ADFV01053372.1/15662-15539 Nomascus leucogenys contig_98377, whole genome shotgun sequence.
* Block 687 <=== 1111	USER>>AGKD01554654.1/657-560	   98   [+1+] AGKD01554654.1/657-560 Salmo salar Contig_554987, whole genome shotgun sequence.
* Block 688 <=== 929	USER>>AAGW02039780.1/2796-2930	  135   [+0+] AAGW02039780.1/2796-2930 Oryctolagus cuniculus cont2.39779, whole genome shotgun sequence.
* Block 689 <=== 803	USER>>AGKD01230043.1/3019-2917	  103   [+0+] AGKD01230043.1/3019-2917 Salmo salar Contig_230072, whole genome shotgun sequence.
* Block 690 <=== 793	USER>>AGKD01555064.1/619-513	  107   [+0+] AGKD01555064.1/619-513 Salmo salar Contig_555398, whole genome shotgun sequence.
* Block 691 <=== 745	USER>>AAIY01244513.1/1-122	  122   [+0+] AAIY01244513.1/1-122 Echinops telfairi cont1.244512, whole genome shotgun sequence.
* Block 692 <=== 587	USER>>AAIY01013155.1/1-120	  120   [+0+] AAIY01013155.1/1-120 Echinops telfairi cont1.013154, whole genome shotgun sequence.
* Block 693 <=== 528	USER>>CABZ01104126.1/3077-2957	  121   [+0+] CABZ01104126.1/3077-2957 Danio rerio strain Tuebingen, whole genome shotgun sequencing, Contig_0112537
* Block 694 <=== 589	USER>>CAEA01469401.1/1-110	  110   [+0+] CAEA01469401.1/1-110 Gadus morhua WGS project CAEA01000000 data, contig722659
* Block 695 <=== 633	USER>>AAMC01049347.1/4055-3930	  126   [+0+] AAMC01049347.1/4055-3930 Xenopus (Silurana) tropicalis XENTRscaffold_166_Cont49347, whole genome shotgun sequence.
* Block 696 <=== 599	USER>>CAEA01392868.1/1-101	  101   [+0+] CAEA01392868.1/1-101 Gadus morhua WGS project CAEA01000000 data, contig580696
* Block 697 <=== 539	USER>>AALT01129940.1/1456-1345	  112   [+0+] AALT01129940.1/1456-1345 Sorex araneus cont1.129939, whole genome shotgun sequence.
* Block 698 <=== 588	USER>>AEYP01079396.1/11212-11103	  110   [+0+] AEYP01079396.1/11212-11103 Mustela putorius furo contig079396, whole genome shotgun sequence.
* Block 699 <=== 632	USER>>AAMC01133822.1/1-106	  106   [+0+] AAMC01133822.1/1-106 Xenopus (Silurana) tropicalis XENTRscaffold_1265_Cont133822, whole genome shotgun sequence.
* Block 700 <=== 838	USER>>AANT01002180.1/2084-1961	  124   [+0+] AANT01002180.1/2084-1961 Macaca mulatta 1099214000725, whole genome shotgun sequence.
* Block 701 <=== 792	USER>>Z64624.1/201-104	   98   [+1+] Z64624.1/201-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 152g9, forward read cpg152g9.ft1a .
* Block 702 <=== 742	USER>>Z60269.1/202-104	   99   [+1+] Z60269.1/202-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 198c4, forward read cpg198c4.ft1a .
* Block 703 <=== 800	USER>>Z58997.1/1-98	   98   [+7+] Z58997.1/1-98 H.sapiens CpG island DNA genomic Mse1 fragment, clone 119f11, reverse read cpg119f11.rt1a .
* Block 704 <=== 842	USER>>Z59417.1/200-104	   97   [+3+] Z59417.1/200-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 153d8, forward read cpg153d8.ft1a .
* Block 705 <=== 701	USER>>ABBA01146141.1/814-705	  110   [+1+] ABBA01146141.1/814-705 Homo sapiens CTG_1103276834820, whole genome shotgun sequence.
* Block 706 <=== 744	USER>>Z57081.1/201-104	   98   [+0+] Z57081.1/201-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 163f2, forward read cpg163f2.ft1a .
* Block 707 <=== 840	USER>>Z61798.1/202-104	   99   [+0+] Z61798.1/202-104 H.sapiens CpG island DNA genomic Mse1 fragment, clone 59b10, forward read cpg59b10.ft1a .
* Block 708 <=== 841	USER>>AAPY01442883.1/1156-1060	   97   [+0+] AAPY01442883.1/1156-1060 Tupaia belangeri cont1.442882, whole genome shotgun sequence.
* Block 709 <=== 702	USER>>AAQR03042592.1/1-99	   99   [+0+] AAQR03042592.1/1-99 Otolemur garnettii contig042592, whole genome shotgun sequence.
* Block 710 <=== 743	USER>>AAQQ01352187.1/1-100	  100   [+0+] AAQQ01352187.1/1-100 Spermophilus tridecemlineatus cont1.352186, whole genome shotgun sequence.
* Block 711 <=== 801	USER>>AGTP01023543.1/1-94	   94   [+0+] AGTP01023543.1/1-94 Spermophilus tridecemlineatus contig023543, whole genome shotgun sequence.
* Block 712 <=== 802	USER>>AAIY01059033.1/1214-1099	  116   [+0+] AAIY01059033.1/1214-1099 Echinops telfairi cont1.059032, whole genome shotgun sequence.
* Block 713 <=== 703	USER>>AAIY01056470.1/2502-2399	  104   [+0+] AAIY01056470.1/2502-2399 Echinops telfairi cont1.056469, whole genome shotgun sequence.
* Block 714 <=== 601	USER>>AEWO01002003.1/3632-3521	  112   [+0+] AEWO01002003.1/3632-3521 Saccharomyces cerevisiae FL100 Contig243.2, whole genome shotgun sequence.
* Block 715 <=== 690	USER>>AAGW02054327.1/15118-15228	  111   [+0+] AAGW02054327.1/15118-15228 Oryctolagus cuniculus cont2.54326, whole genome shotgun sequence.
* Block 716 <=== 529	USER>>ABRT010750747.1/1204-1313	  110   [+0+] ABRT010750747.1/1204-1313 Tarsius syrichta cont1.750746, whole genome shotgun sequence.
* Block 717 <=== 595	USER>>AACZ03046337.1/110-7	  104   [+0+] AACZ03046337.1/110-7 Pan troglodytes chromosome 6 Contig12.847, whole genome shotgun sequence.
* Block 718 <=== 593	USER>>ABDC01258320.1/1158-1034	  125   [+0+] ABDC01258320.1/1158-1034 Microcebus murinus cont1.258319, whole genome shotgun sequence.
* Block 719 <=== 594	USER>>AAKN02017620.1/76410-76299	  112   [+0+] AAKN02017620.1/76410-76299 Cavia porcellus strain inbred line 2N cont2.17619, whole genome shotgun sequence.
* Block 720 <=== 646	USER>>ABRP01239498.1/4075-3957	  119   [+0+] ABRP01239498.1/4075-3957 Pteropus vampyrus cont1.239497, whole genome shotgun sequence.
* Block 721 <=== 622	USER>>AFSB01032488.1/5883-5765	  119   [+0+] AFSB01032488.1/5883-5765 Heterocephalus glaber contig32488, whole genome shotgun sequence.
* Block 722 <=== 734	USER>>AAGW02035556.1/78311-78175	  137   [+0+] AAGW02035556.1/78311-78175 Oryctolagus cuniculus cont2.35555, whole genome shotgun sequence.
* Block 723 <=== 814	USER>>AEHL01283333.1/1605-1718	  114   [+2+] AEHL01283333.1/1605-1718 Macaca fascicularis contig283333, whole genome shotgun sequence.
* Block 724 <=== 891	USER>>AEHK01213336.1/549-662	  114   [+0+] AEHK01213336.1/549-662 Macaca mulatta contig213336, whole genome shotgun sequence.
* Block 725 <=== 735	USER>>AAGW02044039.1/16280-16149	  132   [+0+] AAGW02044039.1/16280-16149 Oryctolagus cuniculus cont2.44038, whole genome shotgun sequence.
* Block 726 <=== 791	USER>>DAAB012549918.1/314-440	  127   [+0+] DAAB012549918.1/314-440 TPA: Homo sapiens contig2549918, whole genome shotgun sequence.
* Block 727 <=== 839	USER>>ADDF014392390.1/314-437	  124   [+0+] ADDF014392390.1/314-437 Homo sapiens contig4392390, whole genome shotgun sequence.
* Block 728 <=== 813	USER>>ACFV01137555.1/4607-4725	  119   [+0+] ACFV01137555.1/4607-4725 Callithrix jacchus Contig412.122, whole genome shotgun sequence.
* Block 729 <=== 808	USER>>AEKR01137465.1/2877-2742	  136   [+4+] AEKR01137465.1/2877-2742 Mus musculus strain C57BL/6J cont1.137464, whole genome shotgun sequence.
* Block 730 <=== 821	USER>>AANG01680580.1/7343-7219	  125   [+1+] AANG01680580.1/7343-7219 Felis catus cont1.680579, whole genome shotgun sequence.
* Block 731 <=== 724	USER>>AAWZ02025140.1/9554-9425	  130   [+0+] AAWZ02025140.1/9554-9425 Anolis carolinensis chromosome Tnknown cont2.25139, whole genome shotgun sequence.
* Block 732 <=== 672	USER>>AEHL01318322.1/2270-2366	   97   [+3+] AEHL01318322.1/2270-2366 Macaca fascicularis contig318322, whole genome shotgun sequence.
* Block 733 <=== 918	USER>>AADB02328026.1/99-1	   99   [+0+] AADB02328026.1/99-1 Homo sapiens chromosome Tn CRA_219000002684027, whole genome shotgun sequence.
* Block 734 <=== 895	USER>>AAGW02039321.1/66954-66835	  120   [+0+] AAGW02039321.1/66954-66835 Oryctolagus cuniculus cont2.39320, whole genome shotgun sequence.
* Block 735 <=== 704	USER>>AAYZ01132974.1/89-1	   89   [+0+] AAYZ01132974.1/89-1 Ochotona princeps cont2.132973, whole genome shotgun sequence.
* Block 736 <=== 797	USER>>HE601629.1/9321259-9321132	  128   [+0+] HE601629.1/9321259-9321132 Schistosoma mansoni strain Puerto Rico chromosome 6, complete genome
* Block 737 <--- 531	USER>>FR823393.1/6033727-6033620	  108   [+0+] FR823393.1/6033727-6033620 Neospora caninum Liverpool complete genome, chromosome XII
* Block 738 <--- 533	USER>>AAWT01029146.1/19927-20034	  108   [+0+] AAWT01029146.1/19927-20034 Schmidtea mediterranea strain S2F2 S_mediterranea_3.1_Cont7354.2, whole genome shotgun sequence.
* Block 739 <=== 763	USER>>AFSB01220338.1/18633-18734	  102   [+0+] AFSB01220338.1/18633-18734 Heterocephalus glaber contig220338, whole genome shotgun sequence.
* Block 740 <=== 764	USER>>AEHL01354485.1/20790-20900	  111   [+3+] AEHL01354485.1/20790-20900 Macaca fascicularis contig354485, whole genome shotgun sequence.
* Block 741 <=== 846	USER>>ACBE01554257.1/1337-1221	  117   [+0+] ACBE01554257.1/1337-1221 Felis catus c587702768.Contig1, whole genome shotgun sequence.
* Block 742 <=== 863	USER>>ABRR01290773.1/7552-7669	  118   [+0+] ABRR01290773.1/7552-7669 Vicugna pacos cont1.290772, whole genome shotgun sequence.
* Block 743 <=== 864	USER>>ABDC01662524.1/433-563	  131   [+1+] ABDC01662524.1/433-563 Microcebus murinus cont1.662523, whole genome shotgun sequence.
* Block 744 <=== 760	USER>>AAGW02018374.1/75055-75164	  110   [+0+] AAGW02018374.1/75055-75164 Oryctolagus cuniculus cont2.18373, whole genome shotgun sequence.
* Block 745 <=== 751	USER>>AADB02292010.1/88-1	   88   [+0+] AADB02292010.1/88-1 Homo sapiens chromosome Tn CRA_219000002006408, whole genome shotgun sequence.
* Block 746 <=== 924	USER>>ABBA01139252.1/926-1032	  107   [+1+] ABBA01139252.1/926-1032 Homo sapiens CTG_1103276824893, whole genome shotgun sequence.
* Block 747 <=== 1127	USER>>ABBA01123942.1/762-898	  137   [+2+] ABBA01123942.1/762-898 Homo sapiens CTG_1103276803023, whole genome shotgun sequence.
* Block 748 <=== 534	USER>>ABSL01065299.1/3250-3114	  137   [+10+] ABSL01065299.1/3250-3114 Homo sapiens CTG_1112749600321, whole genome shotgun sequence.
* Block 749 <=== 542	USER>>ABSL01246829.1/128-15	  114   [+1+] ABSL01246829.1/128-15 Homo sapiens CTG_1112675452086, whole genome shotgun sequence.
* Block 750 <=== 641	USER>>AADB02074301.1/332-468	  137   [+0+] AADB02074301.1/332-468 Homo sapiens chromosome Tn CRA_219000002213520, whole genome shotgun sequence.
* Block 751 <=== 693	USER>>ABSL01009263.1/716-580	  137   [+0+] ABSL01009263.1/716-580 Homo sapiens CTG_1112749544273, whole genome shotgun sequence.
* Block 752 <=== 1057	USER>>AC145613.2/48361-48474	  114   [+0+] AC145613.2/48361-48474 Homo sapiens BAC clone RP11-1266H24 from TL, complete sequence.
* Block 753 <=== 991	USER>>AADB02364718.1/733-846	  114   [+0+] AADB02364718.1/733-846 Homo sapiens chromosome Tn CRA_219000002076783, whole genome shotgun sequence.
* Block 754 <=== 923	USER>>ADFV01103222.1/28831-28695	  137   [+0+] ADFV01103222.1/28831-28695 Nomascus leucogenys contig_143229, whole genome shotgun sequence.
* Block 755 <=== 1016	USER>>CABD02055118.1/11665-11529	  137   [+0+] CABD02055118.1/11665-11529 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr10_126611811_1633102.100
* Block 756 <=== 990	USER>>ABSL01026447.1/506-642	  137   [+4+] ABSL01026447.1/506-642 Homo sapiens CTG_1112749561467, whole genome shotgun sequence.
* Block 757 <=== 752	USER>>ABGA01134055.1/26443-26307	  137   [+0+] ABGA01134055.1/26443-26307 Pongo abelii chromosome 10 P_pygmaeus2.0.2_Contig388.69, whole genome shotgun sequence.
